Column,Metric,Score
race,TVComplement,0.9940054773321237
gender,TVComplement,0.9996515267106236
age,TVComplement,0.9976224814984299
time_in_hospital,KSComplement,0.847819081859543
medical_specialty,TVComplement,0.9952171251290091
num_lab_procedures,KSComplement,0.9483413448157192
num_procedures,TVComplement,0.9968407556512583
num_medications,KSComplement,0.9833879926747267
primary_diagnosis,TVComplement,0.998020517770167
number_diagnoses,KSComplement,0.8167615318091167
max_glu_serum,TVComplement,0.9996214119495771
A1Cresult,TVComplement,0.9980895837718441
insulin,TVComplement,0.9972690578009992
change,TVComplement,0.9997964727369043
diabetesMed,TVComplement,0.9991796789785109
medicare,TVComplement,0.9995202794606566
medicaid,TVComplement,0.9997613648398458
had_emergency,TVComplement,0.9990211580145735
had_inpatient_days,TVComplement,0.9969971460109393
had_outpatient_days,TVComplement,0.998293475308883
readmit_binary,TVComplement,0.9989865041925894
