Column,Metric,Score
race,TVComplement,0.8940942367218592
gender,TVComplement,0.7579963641723579
age,TVComplement,0.9685550041762885
time_in_hospital,KSComplement,0.8784700044219524
medical_specialty,TVComplement,0.8431926497322262
num_lab_procedures,KSComplement,0.8601557509949392
num_procedures,TVComplement,0.8900284970274652
num_medications,KSComplement,0.961221932884587
primary_diagnosis,TVComplement,0.8643197563012823
number_diagnoses,KSComplement,0.7977939370117427
max_glu_serum,TVComplement,0.9407826855991746
A1Cresult,TVComplement,0.9408563848081364
insulin,TVComplement,0.8925711197366482
change,TVComplement,0.9580774333022158
diabetesMed,TVComplement,0.9196064462241439
medicare,TVComplement,0.8336854517761509
medicaid,TVComplement,0.9614184641084852
had_emergency,TVComplement,0.942833980248612
had_inpatient_days,TVComplement,0.8392988748587432
had_outpatient_days,TVComplement,0.9993244239178499
readmit_binary,TVComplement,0.9540608264137965
