column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.9949761705891023
race,categorical,CategoryCoverage,1.0
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.9996560703581782
gender,categorical,CategoryCoverage,1.0
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9989682110745345
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,id,MissingValueSimilarity,1.0
admission_source_id,id,MissingValueSimilarity,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.8481919127401365
time_in_hospital,numerical,RangeCoverage,0.9230769230769231
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9277190283798646
time_in_hospital,numerical,StatisticSimilarity(median),0.9230769230769231
time_in_hospital,numerical,StatisticSimilarity(std),0.9964150550616646
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.9966589691937306
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.9476489952341178
num_lab_procedures,numerical,RangeCoverage,1.0
num_lab_procedures,numerical,BoundaryAdherence,1.0
num_lab_procedures,numerical,StatisticSimilarity(mean),0.999771119886672
num_lab_procedures,numerical,StatisticSimilarity(median),0.9847328244274809
num_lab_procedures,numerical,StatisticSimilarity(std),0.9988463279467311
num_procedures,categorical,MissingValueSimilarity,1.0
num_procedures,categorical,TVComplement,0.9962536235444406
num_procedures,categorical,CategoryCoverage,1.0
num_procedures,categorical,CategoryAdherence,1.0
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.9829509163268314
num_medications,numerical,RangeCoverage,0.95
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.9994896329779394
num_medications,numerical,StatisticSimilarity(median),1.0
num_medications,numerical,StatisticSimilarity(std),0.9983447210818992
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.9976170589102343
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.8155063135655678
number_diagnoses,numerical,RangeCoverage,0.8666666666666667
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.9986963428814754
number_diagnoses,numerical,StatisticSimilarity(median),1.0
number_diagnoses,numerical,StatisticSimilarity(std),0.9978843131742982
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.9998157519775954
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9973591116788679
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.9974573772908171
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9989436446715472
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9999140175895446
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.9987225470446617
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9994104063283054
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.9984400334103081
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.9981329533729671
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9989436446715472
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9989804942760281
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
