Column,Metric,Score
race,TVComplement,0.9949761705891023
gender,TVComplement,0.9996560703581782
age,TVComplement,0.9989682110745345
time_in_hospital,KSComplement,0.8481919127401365
medical_specialty,TVComplement,0.9966589691937306
num_lab_procedures,KSComplement,0.9476489952341178
num_procedures,TVComplement,0.9962536235444406
num_medications,KSComplement,0.9829509163268314
primary_diagnosis,TVComplement,0.9976170589102343
number_diagnoses,KSComplement,0.8155063135655678
max_glu_serum,TVComplement,0.9998157519775954
A1Cresult,TVComplement,0.9973591116788679
insulin,TVComplement,0.9974573772908171
change,TVComplement,0.9989436446715472
diabetesMed,TVComplement,0.9999140175895446
medicare,TVComplement,0.9987225470446617
medicaid,TVComplement,0.9994104063283054
had_emergency,TVComplement,0.9984400334103081
had_inpatient_days,TVComplement,0.9981329533729671
had_outpatient_days,TVComplement,0.9989436446715472
readmit_binary,TVComplement,0.9989804942760281
