sensitive_feature_0,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican|Female,2427.0,0.0700453234445818,0.8323032550473836,0.1676967449526164,0.05947955390334572,0.07136237256719184
AfricanAmerican|Male,1526.0,0.062254259501965926,0.8374836173001311,0.16251638269986893,0.06779661016949153,0.061527057079318014
Asian|Female,65.0,0.06153846153846154,0.9384615384615385,0.06153846153846154,0.5,0.047619047619047616
Asian|Male,77.0,0.03896103896103896,0.8181818181818182,0.18181818181818182,0.07692307692307693,0.03125
Caucasian|Female,7898.0,0.08027348695872373,0.83008356545961,0.16991643454038996,0.10927152317880795,0.07651601830663615
Caucasian|Male,7243.0,0.06130056606378573,0.8456440701366837,0.1543559298633163,0.07233502538071065,0.059953524399690164
Hispanic|Female,218.0,0.01834862385321101,0.8990825688073395,0.10091743119266056,0.0,0.02
Hispanic|Male,193.0,0.0051813471502590676,0.8549222797927462,0.14507772020725387,0.0,0.006024096385542169
Other|Female,144.0,0.006944444444444444,0.875,0.125,0.05263157894736842,0.0
Other|Male,154.0,0.006493506493506494,0.9025974025974026,0.09740259740259741,0.0,0.007142857142857143
Unknown|Female,191.0,0.02617801047120419,0.8952879581151832,0.10471204188481675,0.058823529411764705,0.022988505747126436
Unknown|Male,218.0,0.013761467889908258,0.8899082568807339,0.11009174311926606,0.0,0.015228426395939087
