Column,Metric,Score
race,TVComplement,0.8783666666666666
gender,TVComplement,0.7765333333333334
age,TVComplement,0.9748
time_in_hospital,KSComplement,0.9033
medical_specialty,TVComplement,0.7889666666666667
num_lab_procedures,KSComplement,0.8634
num_procedures,TVComplement,0.8795
num_medications,KSComplement,0.962
primary_diagnosis,TVComplement,0.8797333333333334
number_diagnoses,KSComplement,0.7636000000000001
max_glu_serum,TVComplement,0.9537333333333333
A1Cresult,TVComplement,0.9444
insulin,TVComplement,0.8875333333333333
change,TVComplement,0.9295
diabetesMed,TVComplement,0.9316333333333333
medicare,TVComplement,0.8112666666666667
medicaid,TVComplement,0.9534
had_emergency,TVComplement,0.9471666666666667
had_inpatient_days,TVComplement,0.8460333333333333
had_outpatient_days,TVComplement,0.9869333333333333
readmit_binary,TVComplement,0.9816
