col_a,col_b,metric,score
insulin,change,ContingencySimilarity,0.7012666666666667
insulin,diabetesMed,ContingencySimilarity,0.7578
admission_source_id,medical_specialty,ContingencySimilarity,0.8123333333333334
medical_specialty,num_procedures,ContingencySimilarity,0.8434
change,diabetesMed,ContingencySimilarity,0.8617333333333334
num_procedures,primary_diagnosis,ContingencySimilarity,0.8672666666666666
medical_specialty,primary_diagnosis,ContingencySimilarity,0.8758666666666667
medical_specialty,insulin,ContingencySimilarity,0.8794666666666666
medical_specialty,had_outpatient_days,ContingencySimilarity,0.8796666666666666
race,medical_specialty,ContingencySimilarity,0.8822
medical_specialty,A1Cresult,ContingencySimilarity,0.8822
admission_source_id,num_procedures,ContingencySimilarity,0.8901333333333333
age,medical_specialty,ContingencySimilarity,0.8907333333333334
medical_specialty,change,ContingencySimilarity,0.8919333333333334
race,had_outpatient_days,ContingencySimilarity,0.894
admission_source_id,primary_diagnosis,ContingencySimilarity,0.8940666666666667
race,num_procedures,ContingencySimilarity,0.8951333333333333
medical_specialty,had_inpatient_days,ContingencySimilarity,0.8967333333333334
medical_specialty,max_glu_serum,ContingencySimilarity,0.9035333333333333
primary_diagnosis,A1Cresult,ContingencySimilarity,0.904
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.9043333333333333
race,primary_diagnosis,ContingencySimilarity,0.9052666666666667
medical_specialty,had_emergency,ContingencySimilarity,0.9054
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.9071333333333333
num_procedures,A1Cresult,ContingencySimilarity,0.9082
medical_specialty,readmit_binary,ContingencySimilarity,0.9106
race,insulin,ContingencySimilarity,0.9112
gender,medical_specialty,ContingencySimilarity,0.9114666666666666
medical_specialty,diabetesMed,ContingencySimilarity,0.9121333333333332
discharge_disposition_id,medical_specialty,ContingencySimilarity,0.9122666666666667
medical_specialty,medicaid,ContingencySimilarity,0.9125333333333333
medical_specialty,medicare,ContingencySimilarity,0.9129333333333333
num_procedures,insulin,ContingencySimilarity,0.9131333333333334
primary_diagnosis,insulin,ContingencySimilarity,0.9133333333333333
insulin,had_inpatient_days,ContingencySimilarity,0.9144
gender,num_procedures,ContingencySimilarity,0.9148666666666667
insulin,had_outpatient_days,ContingencySimilarity,0.915
age,discharge_disposition_id,ContingencySimilarity,0.9166666666666666
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.9176
race,had_emergency,ContingencySimilarity,0.9187333333333333
insulin,had_emergency,ContingencySimilarity,0.9196666666666666
race,A1Cresult,ContingencySimilarity,0.9219333333333334
insulin,medicare,ContingencySimilarity,0.9228000000000001
num_procedures,medicare,ContingencySimilarity,0.9239999999999999
gender,insulin,ContingencySimilarity,0.9246666666666666
num_procedures,had_inpatient_days,ContingencySimilarity,0.9252
had_emergency,had_inpatient_days,ContingencySimilarity,0.9260666666666667
diabetesMed,medicare,ContingencySimilarity,0.9264666666666667
discharge_disposition_id,medicare,ContingencySimilarity,0.9266666666666666
num_procedures,had_outpatient_days,ContingencySimilarity,0.9268666666666666
gender,medicare,ContingencySimilarity,0.9276
race,max_glu_serum,ContingencySimilarity,0.9287333333333333
gender,primary_diagnosis,ContingencySimilarity,0.9290666666666667
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.9305333333333333
age,insulin,ContingencySimilarity,0.9306000000000001
medicaid,had_inpatient_days,ContingencySimilarity,0.9322
race,had_inpatient_days,ContingencySimilarity,0.9324
A1Cresult,insulin,ContingencySimilarity,0.9326
primary_diagnosis,medicare,ContingencySimilarity,0.9327333333333334
discharge_disposition_id,primary_diagnosis,ContingencySimilarity,0.9330666666666667
max_glu_serum,insulin,ContingencySimilarity,0.9331333333333334
race,gender,ContingencySimilarity,0.9341333333333334
race,discharge_disposition_id,ContingencySimilarity,0.9343333333333333
medicare,readmit_binary,ContingencySimilarity,0.9345333333333333
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.9349333333333334
race,change,ContingencySimilarity,0.9352
race,admission_source_id,ContingencySimilarity,0.9352
race,age,ContingencySimilarity,0.9360666666666667
had_inpatient_days,readmit_binary,ContingencySimilarity,0.9364
admission_source_id,medicare,ContingencySimilarity,0.9364
age,primary_diagnosis,ContingencySimilarity,0.9369333333333333
num_procedures,had_emergency,ContingencySimilarity,0.9374
primary_diagnosis,diabetesMed,ContingencySimilarity,0.9375333333333333
discharge_disposition_id,num_procedures,ContingencySimilarity,0.9382666666666667
admission_source_id,max_glu_serum,ContingencySimilarity,0.9384666666666667
admission_source_id,insulin,ContingencySimilarity,0.9388666666666666
primary_diagnosis,readmit_binary,ContingencySimilarity,0.9400000000000001
primary_diagnosis,change,ContingencySimilarity,0.9400666666666667
insulin,medicaid,ContingencySimilarity,0.9404
gender,had_outpatient_days,ContingencySimilarity,0.9409333333333333
primary_diagnosis,had_emergency,ContingencySimilarity,0.9409333333333333
num_procedures,change,ContingencySimilarity,0.9409333333333334
race,medicare,ContingencySimilarity,0.9411999999999999
discharge_disposition_id,insulin,ContingencySimilarity,0.9412
max_glu_serum,medicare,ContingencySimilarity,0.9414666666666667
race,medicaid,ContingencySimilarity,0.9417333333333333
race,readmit_binary,ContingencySimilarity,0.9421333333333334
race,diabetesMed,ContingencySimilarity,0.9422
A1Cresult,had_outpatient_days,ContingencySimilarity,0.9427333333333333
num_procedures,max_glu_serum,ContingencySimilarity,0.9429333333333333
num_procedures,readmit_binary,ContingencySimilarity,0.9431333333333334
primary_diagnosis,max_glu_serum,ContingencySimilarity,0.9441333333333333
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9442
age,had_outpatient_days,ContingencySimilarity,0.9446
insulin,readmit_binary,ContingencySimilarity,0.9458666666666666
num_procedures,diabetesMed,ContingencySimilarity,0.9463333333333334
discharge_disposition_id,had_outpatient_days,ContingencySimilarity,0.9469333333333334
age,num_procedures,ContingencySimilarity,0.9479333333333333
age,had_inpatient_days,ContingencySimilarity,0.9479333333333333
admission_source_id,had_inpatient_days,ContingencySimilarity,0.9481333333333333
gender,had_inpatient_days,ContingencySimilarity,0.9494666666666667
diabetesMed,had_inpatient_days,ContingencySimilarity,0.9494666666666667
change,had_inpatient_days,ContingencySimilarity,0.9494666666666667
had_emergency,had_outpatient_days,ContingencySimilarity,0.9494666666666667
medicare,had_inpatient_days,ContingencySimilarity,0.9494666666666667
max_glu_serum,had_outpatient_days,ContingencySimilarity,0.9498666666666666
primary_diagnosis,medicaid,ContingencySimilarity,0.9500666666666667
age,medicare,ContingencySimilarity,0.9503333333333334
medicare,had_outpatient_days,ContingencySimilarity,0.9510666666666667
discharge_disposition_id,A1Cresult,ContingencySimilarity,0.9511999999999999
change,had_outpatient_days,ContingencySimilarity,0.9521999999999999
had_outpatient_days,readmit_binary,ContingencySimilarity,0.9522
medicaid,had_outpatient_days,ContingencySimilarity,0.9522
admission_source_id,had_outpatient_days,ContingencySimilarity,0.9522
diabetesMed,had_outpatient_days,ContingencySimilarity,0.9522
medicare,had_emergency,ContingencySimilarity,0.9524666666666667
max_glu_serum,diabetesMed,ContingencySimilarity,0.9525333333333333
num_procedures,medicaid,ContingencySimilarity,0.9527333333333333
A1Cresult,medicare,ContingencySimilarity,0.9546666666666667
discharge_disposition_id,change,ContingencySimilarity,0.9556666666666667
medicare,medicaid,ContingencySimilarity,0.9557333333333333
change,medicare,ContingencySimilarity,0.9557333333333333
age,readmit_binary,ContingencySimilarity,0.9593333333333334
admission_source_id,diabetesMed,ContingencySimilarity,0.9598
admission_source_id,had_emergency,ContingencySimilarity,0.9612666666666666
gender,age,ContingencySimilarity,0.9616666666666667
max_glu_serum,readmit_binary,ContingencySimilarity,0.9616666666666667
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.9622
admission_source_id,A1Cresult,ContingencySimilarity,0.9622
gender,had_emergency,ContingencySimilarity,0.9631333333333333
A1Cresult,readmit_binary,ContingencySimilarity,0.9632000000000001
gender,discharge_disposition_id,ContingencySimilarity,0.9633333333333334
age,diabetesMed,ContingencySimilarity,0.9634666666666667
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.9645333333333334
age,A1Cresult,ContingencySimilarity,0.9649333333333333
A1Cresult,diabetesMed,ContingencySimilarity,0.9661333333333333
A1Cresult,had_emergency,ContingencySimilarity,0.9682
gender,max_glu_serum,ContingencySimilarity,0.969
max_glu_serum,A1Cresult,ContingencySimilarity,0.9692666666666666
discharge_disposition_id,readmit_binary,ContingencySimilarity,0.9699333333333333
gender,admission_source_id,ContingencySimilarity,0.9704
age,admission_source_id,ContingencySimilarity,0.9705333333333334
max_glu_serum,had_emergency,ContingencySimilarity,0.9714666666666667
admission_source_id,change,ContingencySimilarity,0.9723333333333333
gender,diabetesMed,ContingencySimilarity,0.9726
age,max_glu_serum,ContingencySimilarity,0.9728666666666667
discharge_disposition_id,admission_source_id,ContingencySimilarity,0.9730666666666666
age,had_emergency,ContingencySimilarity,0.9732000000000001
diabetesMed,had_emergency,ContingencySimilarity,0.9736
admission_source_id,readmit_binary,ContingencySimilarity,0.9742666666666667
discharge_disposition_id,had_emergency,ContingencySimilarity,0.9746666666666667
gender,A1Cresult,ContingencySimilarity,0.9756
change,had_emergency,ContingencySimilarity,0.9757333333333333
medicaid,had_emergency,ContingencySimilarity,0.9757333333333333
had_emergency,readmit_binary,ContingencySimilarity,0.9757333333333333
gender,change,ContingencySimilarity,0.9764666666666667
medicaid,readmit_binary,ContingencySimilarity,0.9765333333333334
gender,readmit_binary,ContingencySimilarity,0.9765333333333334
diabetesMed,readmit_binary,ContingencySimilarity,0.9765999999999999
change,readmit_binary,ContingencySimilarity,0.9766
A1Cresult,medicaid,ContingencySimilarity,0.9774
A1Cresult,change,ContingencySimilarity,0.9791333333333333
max_glu_serum,medicaid,ContingencySimilarity,0.9794666666666667
age,change,ContingencySimilarity,0.9796
max_glu_serum,change,ContingencySimilarity,0.9796666666666667
diabetesMed,medicaid,ContingencySimilarity,0.9823333333333333
admission_source_id,medicaid,ContingencySimilarity,0.9823999999999999
gender,medicaid,ContingencySimilarity,0.9849333333333333
discharge_disposition_id,medicaid,ContingencySimilarity,0.9852666666666666
change,medicaid,ContingencySimilarity,0.9866666666666667
age,medicaid,ContingencySimilarity,0.9885999999999999
