Column,Metric,Score
race,TVComplement,0.9503333333333333
gender,TVComplement,0.9864333333333334
age,TVComplement,0.9918666666666667
time_in_hospital,KSComplement,0.8413333333333333
medical_specialty,TVComplement,0.9306333333333333
num_lab_procedures,KSComplement,0.862
num_procedures,TVComplement,0.9547333333333333
num_medications,KSComplement,0.9739
primary_diagnosis,TVComplement,0.9509333333333333
number_diagnoses,KSComplement,0.8257
max_glu_serum,TVComplement,0.9846666666666667
A1Cresult,TVComplement,0.9922333333333333
insulin,TVComplement,0.9497333333333333
change,TVComplement,0.9928333333333333
diabetesMed,TVComplement,0.9850333333333333
medicare,TVComplement,0.9579333333333333
medicaid,TVComplement,0.9999333333333333
had_emergency,TVComplement,0.9728333333333333
had_inpatient_days,TVComplement,0.9539666666666666
had_outpatient_days,TVComplement,0.9564
readmit_binary,TVComplement,0.9716
