col_a,col_b,metric,score
insulin,diabetesMed,ContingencySimilarity,0.7158
insulin,change,ContingencySimilarity,0.7266
admission_source_id,medical_specialty,ContingencySimilarity,0.8162
change,diabetesMed,ContingencySimilarity,0.8924
race,medical_specialty,ContingencySimilarity,0.9062
medical_specialty,insulin,ContingencySimilarity,0.9144
medical_specialty,primary_diagnosis,ContingencySimilarity,0.9202
primary_diagnosis,insulin,ContingencySimilarity,0.9222
admission_source_id,primary_diagnosis,ContingencySimilarity,0.9244
age,medical_specialty,ContingencySimilarity,0.9248000000000001
race,had_outpatient_days,ContingencySimilarity,0.9292
race,primary_diagnosis,ContingencySimilarity,0.9302
age,medicare,ContingencySimilarity,0.9304
medical_specialty,A1Cresult,ContingencySimilarity,0.9322
medical_specialty,had_outpatient_days,ContingencySimilarity,0.9336
medical_specialty,medicaid,ContingencySimilarity,0.9368
medical_specialty,change,ContingencySimilarity,0.9376
medical_specialty,max_glu_serum,ContingencySimilarity,0.9378
insulin,medicare,ContingencySimilarity,0.9388
medical_specialty,had_emergency,ContingencySimilarity,0.939
had_emergency,had_inpatient_days,ContingencySimilarity,0.9396
medical_specialty,had_inpatient_days,ContingencySimilarity,0.941
race,insulin,ContingencySimilarity,0.9412
insulin,had_inpatient_days,ContingencySimilarity,0.9414
medical_specialty,diabetesMed,ContingencySimilarity,0.9422
A1Cresult,insulin,ContingencySimilarity,0.9428
medical_specialty,medicare,ContingencySimilarity,0.9436
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.9438
admission_source_id,max_glu_serum,ContingencySimilarity,0.9448000000000001
discharge_disposition_id,medical_specialty,ContingencySimilarity,0.9450000000000001
had_inpatient_days,readmit_binary,ContingencySimilarity,0.9453999999999999
race,medicare,ContingencySimilarity,0.9461999999999999
medical_specialty,readmit_binary,ContingencySimilarity,0.9461999999999999
gender,medical_specialty,ContingencySimilarity,0.947
insulin,had_outpatient_days,ContingencySimilarity,0.9476
race,max_glu_serum,ContingencySimilarity,0.9484
primary_diagnosis,A1Cresult,ContingencySimilarity,0.9488
max_glu_serum,insulin,ContingencySimilarity,0.95
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.9500000000000001
admission_source_id,medicare,ContingencySimilarity,0.9504
insulin,had_emergency,ContingencySimilarity,0.9506
gender,insulin,ContingencySimilarity,0.9514
discharge_disposition_id,medicare,ContingencySimilarity,0.952
admission_source_id,insulin,ContingencySimilarity,0.9524
insulin,readmit_binary,ContingencySimilarity,0.9526
race,A1Cresult,ContingencySimilarity,0.9528
race,age,ContingencySimilarity,0.953
A1Cresult,had_outpatient_days,ContingencySimilarity,0.9532
medicare,had_outpatient_days,ContingencySimilarity,0.9534
race,discharge_disposition_id,ContingencySimilarity,0.9538
race,gender,ContingencySimilarity,0.9540000000000001
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.9548
discharge_disposition_id,insulin,ContingencySimilarity,0.9552
primary_diagnosis,medicare,ContingencySimilarity,0.9554
gender,primary_diagnosis,ContingencySimilarity,0.957
A1Cresult,medicare,ContingencySimilarity,0.9574
race,change,ContingencySimilarity,0.9584
insulin,medicaid,ContingencySimilarity,0.9584
age,insulin,ContingencySimilarity,0.9586
race,admission_source_id,ContingencySimilarity,0.959
race,had_inpatient_days,ContingencySimilarity,0.959
race,had_emergency,ContingencySimilarity,0.9591999999999999
age,primary_diagnosis,ContingencySimilarity,0.9592
gender,discharge_disposition_id,ContingencySimilarity,0.96
age,discharge_disposition_id,ContingencySimilarity,0.9602
primary_diagnosis,had_emergency,ContingencySimilarity,0.9608
admission_source_id,A1Cresult,ContingencySimilarity,0.9608
medicare,had_emergency,ContingencySimilarity,0.9608
medicaid,had_inpatient_days,ContingencySimilarity,0.9612
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.9616
race,diabetesMed,ContingencySimilarity,0.9616
discharge_disposition_id,had_outpatient_days,ContingencySimilarity,0.9616
age,A1Cresult,ContingencySimilarity,0.9628
gender,age,ContingencySimilarity,0.963
race,readmit_binary,ContingencySimilarity,0.9634
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9634
medicaid,had_outpatient_days,ContingencySimilarity,0.9636
race,medicaid,ContingencySimilarity,0.9642
age,had_inpatient_days,ContingencySimilarity,0.9646
