sensitive_feature_0,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican|Female,2427.0,0.008240626287597858,0.8833951380304903,0.11660486196950968,0.011152416356877323,0.007877664504170528
AfricanAmerican|Male,1526.0,0.014416775884665793,0.8735255570117956,0.12647444298820446,0.01694915254237288,0.014084507042253521
Asian|Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian|Male,77.0,0.0,0.8311688311688312,0.16883116883116883,0.0,0.0
Caucasian|Female,7898.0,0.0018992149911369967,0.8841478855406432,0.1158521144593568,0.0033112582781456954,0.0017162471395881006
Caucasian|Male,7243.0,0.0030374154355929865,0.8898246582907635,0.1101753417092365,0.007614213197969543,0.0024786986831913244
Hispanic|Female,218.0,0.0,0.9174311926605505,0.08256880733944955,0.0,0.0
Hispanic|Male,193.0,0.0,0.8601036269430051,0.13989637305699482,0.0,0.0
Other|Female,144.0,0.006944444444444444,0.8611111111111112,0.1388888888888889,0.0,0.008
Other|Male,154.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
Unknown|Female,191.0,0.0,0.9109947643979057,0.08900523560209424,0.0,0.0
Unknown|Male,218.0,0.0,0.9036697247706422,0.0963302752293578,0.0,0.0
