col_a,col_b,metric,score
race,gender,ContingencySimilarity,0.7114666666666667
gender,medical_specialty,ContingencySimilarity,0.7140666666666666
gender,primary_diagnosis,ContingencySimilarity,0.718
gender,had_inpatient_days,ContingencySimilarity,0.7198666666666667
race,medical_specialty,ContingencySimilarity,0.7308666666666668
medical_specialty,had_inpatient_days,ContingencySimilarity,0.7448
medical_specialty,primary_diagnosis,ContingencySimilarity,0.7468
medical_specialty,num_procedures,ContingencySimilarity,0.7502666666666666
gender,A1Cresult,ContingencySimilarity,0.7552
gender,medicaid,ContingencySimilarity,0.7565333333333333
medical_specialty,medicare,ContingencySimilarity,0.762
gender,num_procedures,ContingencySimilarity,0.7622666666666666
gender,max_glu_serum,ContingencySimilarity,0.7652
gender,age,ContingencySimilarity,0.7658666666666667
race,medicare,ContingencySimilarity,0.7676666666666667
medical_specialty,insulin,ContingencySimilarity,0.7698
gender,insulin,ContingencySimilarity,0.7724
max_glu_serum,medicare,ContingencySimilarity,0.7744666666666666
gender,diabetesMed,ContingencySimilarity,0.7749333333333333
gender,admission_source_id,ContingencySimilarity,0.7749333333333333
gender,readmit_binary,ContingencySimilarity,0.7749333333333334
gender,had_outpatient_days,ContingencySimilarity,0.7749333333333334
gender,change,ContingencySimilarity,0.7749333333333334
gender,had_emergency,ContingencySimilarity,0.7749333333333334
gender,medicare,ContingencySimilarity,0.7749333333333334
gender,discharge_disposition_id,ContingencySimilarity,0.7749333333333334
medical_specialty,A1Cresult,ContingencySimilarity,0.7763333333333333
age,medical_specialty,ContingencySimilarity,0.7799333333333334
discharge_disposition_id,medical_specialty,ContingencySimilarity,0.7822
race,had_inpatient_days,ContingencySimilarity,0.7825333333333333
medical_specialty,medicaid,ContingencySimilarity,0.7828666666666666
medical_specialty,had_outpatient_days,ContingencySimilarity,0.7844
medical_specialty,max_glu_serum,ContingencySimilarity,0.7855333333333333
medical_specialty,diabetesMed,ContingencySimilarity,0.7857999999999999
num_procedures,had_inpatient_days,ContingencySimilarity,0.7866666666666666
medicare,medicaid,ContingencySimilarity,0.787
medical_specialty,readmit_binary,ContingencySimilarity,0.7900666666666667
