sensitive_feature_0,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican|Female,2427.0,0.0057684384013185,0.8842192006592501,0.11578079934074989,0.0037174721189591076,0.006024096385542169
AfricanAmerican|Male,1526.0,0.0045871559633027525,0.8794233289646134,0.12057667103538663,0.0,0.005189028910303929
Asian|Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian|Male,77.0,0.0,0.8311688311688312,0.16883116883116883,0.0,0.0
Caucasian|Female,7898.0,0.03380602684223854,0.8593314763231198,0.14066852367688024,0.03421633554083885,0.033752860411899316
Caucasian|Male,7243.0,0.028027060610244375,0.8689769432555571,0.13102305674444292,0.0266497461928934,0.028195197521301316
Hispanic|Female,218.0,0.009174311926605505,0.908256880733945,0.09174311926605505,0.0,0.01
Hispanic|Male,193.0,0.010362694300518135,0.8497409326424871,0.15025906735751296,0.0,0.012048192771084338
Other|Female,144.0,0.013888888888888888,0.8680555555555556,0.13194444444444445,0.05263157894736842,0.008
Other|Male,154.0,0.006493506493506494,0.9025974025974026,0.09740259740259741,0.0,0.007142857142857143
Unknown|Female,191.0,0.0,0.9109947643979057,0.08900523560209424,0.0,0.0
Unknown|Male,218.0,0.0,0.9036697247706422,0.0963302752293578,0.0,0.0
