column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.9503333333333333
race,categorical,CategoryCoverage,1.0
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.9864333333333334
gender,categorical,CategoryCoverage,0.6666666666666666
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9918666666666667
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,id,MissingValueSimilarity,1.0
discharge_disposition_id,id,TVComplement,0.9836
discharge_disposition_id,id,CategoryCoverage,1.0
discharge_disposition_id,id,CategoryAdherence,1.0
admission_source_id,id,MissingValueSimilarity,1.0
admission_source_id,id,TVComplement,0.9828666666666667
admission_source_id,id,CategoryCoverage,1.0
admission_source_id,id,CategoryAdherence,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.8413333333333333
time_in_hospital,numerical,RangeCoverage,0.9230769230769231
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9318897435897436
time_in_hospital,numerical,StatisticSimilarity(median),1.0
time_in_hospital,numerical,StatisticSimilarity(std),0.9958867384352997
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.9306333333333333
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.862
num_lab_procedures,numerical,RangeCoverage,0.8928571428571429
num_lab_procedures,numerical,BoundaryAdherence,1.0
num_lab_procedures,numerical,StatisticSimilarity(mean),0.9753336309523809
num_lab_procedures,numerical,StatisticSimilarity(median),0.9642857142857143
num_lab_procedures,numerical,StatisticSimilarity(std),0.9995838815698033
num_procedures,categorical,MissingValueSimilarity,1.0
num_procedures,categorical,TVComplement,0.9547333333333333
num_procedures,categorical,CategoryCoverage,1.0
num_procedures,categorical,CategoryAdherence,1.0
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.9739
num_medications,numerical,RangeCoverage,0.828125
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.9984135416666666
num_medications,numerical,StatisticSimilarity(median),1.0
num_medications,numerical,StatisticSimilarity(std),0.9970529579517897
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.9509333333333333
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.8257
number_diagnoses,numerical,RangeCoverage,0.6666666666666667
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.9980466666666666
number_diagnoses,numerical,StatisticSimilarity(median),0.9333333333333333
number_diagnoses,numerical,StatisticSimilarity(std),0.9935897719429063
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.9846666666666667
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9922333333333333
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.9497333333333333
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9928333333333333
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9850333333333333
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.9579333333333333
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9999333333333333
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.9728333333333333
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.9539666666666666
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9564
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9716
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
