col_a,col_b,metric,score
gender,primary_diagnosis,ContingencySimilarity,0.7720666666666667
gender,num_procedures,ContingencySimilarity,0.7735333333333334
race,gender,ContingencySimilarity,0.7749333333333334
gender,medical_specialty,ContingencySimilarity,0.7819333333333334
gender,max_glu_serum,ContingencySimilarity,0.7850666666666666
gender,A1Cresult,ContingencySimilarity,0.7955333333333334
gender,insulin,ContingencySimilarity,0.7968
gender,had_outpatient_days,ContingencySimilarity,0.8009333333333334
gender,change,ContingencySimilarity,0.8016
gender,discharge_disposition_id,ContingencySimilarity,0.8016
gender,medicare,ContingencySimilarity,0.8016
gender,medicaid,ContingencySimilarity,0.8016
gender,had_emergency,ContingencySimilarity,0.8016
gender,had_inpatient_days,ContingencySimilarity,0.8016
gender,admission_source_id,ContingencySimilarity,0.8016
gender,diabetesMed,ContingencySimilarity,0.8016
gender,age,ContingencySimilarity,0.8016000000000001
gender,readmit_binary,ContingencySimilarity,0.8016000000000001
insulin,readmit_binary,ContingencySimilarity,0.8155333333333333
medical_specialty,insulin,ContingencySimilarity,0.8207333333333333
num_procedures,insulin,ContingencySimilarity,0.8276
race,insulin,ContingencySimilarity,0.8366666666666667
primary_diagnosis,insulin,ContingencySimilarity,0.8375333333333334
A1Cresult,insulin,ContingencySimilarity,0.8398666666666668
max_glu_serum,insulin,ContingencySimilarity,0.8511333333333333
admission_source_id,insulin,ContingencySimilarity,0.8550666666666666
age,insulin,ContingencySimilarity,0.8556666666666667
insulin,medicaid,ContingencySimilarity,0.8569333333333333
race,medical_specialty,ContingencySimilarity,0.8584666666666667
insulin,had_outpatient_days,ContingencySimilarity,0.8609333333333333
A1Cresult,readmit_binary,ContingencySimilarity,0.8613333333333334
insulin,had_inpatient_days,ContingencySimilarity,0.8615333333333333
insulin,medicare,ContingencySimilarity,0.8615333333333333
insulin,diabetesMed,ContingencySimilarity,0.8615333333333333
insulin,change,ContingencySimilarity,0.8615333333333333
discharge_disposition_id,insulin,ContingencySimilarity,0.8615333333333334
insulin,had_emergency,ContingencySimilarity,0.8615333333333334
num_procedures,primary_diagnosis,ContingencySimilarity,0.8636666666666667
medical_specialty,num_procedures,ContingencySimilarity,0.8659333333333333
medical_specialty,primary_diagnosis,ContingencySimilarity,0.8704000000000001
race,primary_diagnosis,ContingencySimilarity,0.8734000000000001
num_procedures,readmit_binary,ContingencySimilarity,0.8766
admission_source_id,readmit_binary,ContingencySimilarity,0.8841333333333333
medical_specialty,A1Cresult,ContingencySimilarity,0.885
primary_diagnosis,medicare,ContingencySimilarity,0.8878666666666667
admission_source_id,medical_specialty,ContingencySimilarity,0.8892666666666666
primary_diagnosis,readmit_binary,ContingencySimilarity,0.8898666666666666
admission_source_id,num_procedures,ContingencySimilarity,0.8901333333333333
age,primary_diagnosis,ContingencySimilarity,0.8908666666666667
medical_specialty,had_outpatient_days,ContingencySimilarity,0.8919333333333334
primary_diagnosis,A1Cresult,ContingencySimilarity,0.8932
primary_diagnosis,diabetesMed,ContingencySimilarity,0.8954666666666666
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.8974
race,readmit_binary,ContingencySimilarity,0.9004
race,num_procedures,ContingencySimilarity,0.9012666666666667
race,admission_source_id,ContingencySimilarity,0.9020666666666667
medical_specialty,readmit_binary,ContingencySimilarity,0.9020666666666667
medical_specialty,max_glu_serum,ContingencySimilarity,0.9022
age,readmit_binary,ContingencySimilarity,0.9024666666666666
max_glu_serum,readmit_binary,ContingencySimilarity,0.9038666666666667
medicare,readmit_binary,ContingencySimilarity,0.9045333333333333
admission_source_id,primary_diagnosis,ContingencySimilarity,0.9052666666666667
age,medical_specialty,ContingencySimilarity,0.9056
race,had_outpatient_days,ContingencySimilarity,0.9058666666666667
had_emergency,readmit_binary,ContingencySimilarity,0.9066
medicaid,readmit_binary,ContingencySimilarity,0.9066
diabetesMed,readmit_binary,ContingencySimilarity,0.9066
change,readmit_binary,ContingencySimilarity,0.9066
had_inpatient_days,readmit_binary,ContingencySimilarity,0.9066
had_outpatient_days,readmit_binary,ContingencySimilarity,0.9066
discharge_disposition_id,readmit_binary,ContingencySimilarity,0.9066000000000001
admission_source_id,diabetesMed,ContingencySimilarity,0.9069333333333334
primary_diagnosis,change,ContingencySimilarity,0.9087333333333334
primary_diagnosis,max_glu_serum,ContingencySimilarity,0.9088
discharge_disposition_id,primary_diagnosis,ContingencySimilarity,0.9094
medical_specialty,diabetesMed,ContingencySimilarity,0.9094
