Column,Metric,Score
race,TVComplement,0.9721
gender,TVComplement,0.9991
age,TVComplement,0.9985999999999999
discharge_disposition_id,TVComplement,0.9836
admission_source_id,TVComplement,0.9845
time_in_hospital,KSComplement,0.821
medical_specialty,TVComplement,0.9542999999999999
num_lab_procedures,KSComplement,0.9124
num_procedures,KSComplement,0.9873
num_medications,KSComplement,0.9681
primary_diagnosis,TVComplement,0.976
number_diagnoses,KSComplement,0.8087
max_glu_serum,TVComplement,0.988
A1Cresult,TVComplement,0.9821
insulin,TVComplement,0.9662
change,TVComplement,0.9994999999999999
diabetesMed,TVComplement,0.9997
medicare,TVComplement,0.9746
medicaid,TVComplement,0.9976
had_emergency,TVComplement,0.9914999999999999
had_inpatient_days,TVComplement,0.9733
had_outpatient_days,TVComplement,0.9754
readmit_binary,TVComplement,0.9916
