Column,Metric,Score
race,TVComplement,0.8877
gender,TVComplement,0.7732
age,TVComplement,0.9708
time_in_hospital,KSComplement,0.8963
medical_specialty,TVComplement,0.8403
num_lab_procedures,KSComplement,0.8777
num_procedures,TVComplement,0.875
num_medications,KSComplement,0.959
primary_diagnosis,TVComplement,0.8624
number_diagnoses,KSComplement,0.7926
max_glu_serum,TVComplement,0.9464
A1Cresult,TVComplement,0.9554
insulin,TVComplement,0.9028
change,TVComplement,0.9385
diabetesMed,TVComplement,0.9153
medicare,TVComplement,0.8116
medicaid,TVComplement,0.9614
had_emergency,TVComplement,0.9475
had_inpatient_days,TVComplement,0.8357
had_outpatient_days,TVComplement,0.9994000000000001
readmit_binary,TVComplement,0.9666
