column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.9721
race,categorical,CategoryCoverage,1.0
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.9991
gender,categorical,CategoryCoverage,0.6666666666666666
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9985999999999999
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,id,MissingValueSimilarity,1.0
discharge_disposition_id,id,TVComplement,0.9836
discharge_disposition_id,id,CategoryCoverage,1.0
discharge_disposition_id,id,CategoryAdherence,1.0
admission_source_id,id,MissingValueSimilarity,1.0
admission_source_id,id,TVComplement,0.9845
admission_source_id,id,CategoryCoverage,1.0
admission_source_id,id,CategoryAdherence,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.821
time_in_hospital,numerical,RangeCoverage,0.9230769230769231
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9176076923076923
time_in_hospital,numerical,StatisticSimilarity(median),0.9230769230769231
time_in_hospital,numerical,StatisticSimilarity(std),0.9954971539652041
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.9542999999999999
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.9124
num_lab_procedures,numerical,RangeCoverage,1.0
num_lab_procedures,numerical,BoundaryAdherence,0.999
num_lab_procedures,numerical,StatisticSimilarity(mean),0.9908812499999999
num_lab_procedures,numerical,StatisticSimilarity(median),0.9821428571428571
num_lab_procedures,numerical,StatisticSimilarity(std),0.9995551896610366
num_procedures,categorical,MissingValueSimilarity,1.0
num_procedures,categorical,TVComplement,0.9779
num_procedures,categorical,CategoryCoverage,1.0
num_procedures,categorical,CategoryAdherence,1.0
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.9681
num_medications,numerical,RangeCoverage,0.84375
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.997528125
num_medications,numerical,StatisticSimilarity(median),1.0
num_medications,numerical,StatisticSimilarity(std),0.9936956976326233
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.976
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.8087
number_diagnoses,numerical,RangeCoverage,0.7333333333333334
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.99518
number_diagnoses,numerical,StatisticSimilarity(median),0.9333333333333333
number_diagnoses,numerical,StatisticSimilarity(std),0.9994987360682005
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.988
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9821
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.9662
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9994999999999999
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9997
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.9746
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9976
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.9914999999999999
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.9733
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9754
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9916
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
