Column,Metric,Score
race,TVComplement,0.9541
gender,TVComplement,0.8211
age,TVComplement,0.9616
time_in_hospital,KSComplement,0.8547
medical_specialty,TVComplement,0.9263
num_lab_procedures,KSComplement,0.8369
num_procedures,TVComplement,0.9742
num_medications,KSComplement,0.9145
primary_diagnosis,TVComplement,0.93
number_diagnoses,KSComplement,0.9223
max_glu_serum,TVComplement,0.9786
A1Cresult,TVComplement,0.9667
insulin,TVComplement,0.8602
change,TVComplement,0.9814999999999999
diabetesMed,TVComplement,0.9867
medicare,TVComplement,0.9446
medicaid,TVComplement,0.9966
had_emergency,TVComplement,0.9754999999999999
had_inpatient_days,TVComplement,0.9963
had_outpatient_days,TVComplement,0.9504
readmit_binary,TVComplement,0.9246
