Column,Metric,Score
race,TVComplement,0.9487666666666666
gender,TVComplement,0.8031
age,TVComplement,0.9758
time_in_hospital,KSComplement,0.8863333333333333
medical_specialty,TVComplement,0.928
num_lab_procedures,KSComplement,0.8395666666666667
num_procedures,TVComplement,0.9531666666666667
num_medications,KSComplement,0.9107
primary_diagnosis,TVComplement,0.9264
number_diagnoses,KSComplement,0.9243
max_glu_serum,TVComplement,0.9786666666666667
A1Cresult,TVComplement,0.9683666666666667
insulin,TVComplement,0.8575333333333334
change,TVComplement,0.9661666666666666
diabetesMed,TVComplement,0.9883666666666667
medicare,TVComplement,0.9579333333333333
medicaid,TVComplement,0.9967333333333334
had_emergency,TVComplement,0.9794999999999999
had_inpatient_days,TVComplement,0.9873000000000001
had_outpatient_days,TVComplement,0.9564
readmit_binary,TVComplement,0.9016000000000001
