column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.8877
race,categorical,CategoryCoverage,1.0
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.7732
gender,categorical,CategoryCoverage,1.0
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9708
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,categorical,MissingValueSimilarity,1.0
discharge_disposition_id,categorical,TVComplement,0.8276
discharge_disposition_id,categorical,CategoryCoverage,1.0
discharge_disposition_id,categorical,CategoryAdherence,1.0
admission_source_id,categorical,MissingValueSimilarity,1.0
admission_source_id,categorical,TVComplement,0.9032
admission_source_id,categorical,CategoryCoverage,1.0
admission_source_id,categorical,CategoryAdherence,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.8963
time_in_hospital,numerical,RangeCoverage,0.8461538461538461
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9821615384615384
time_in_hospital,numerical,StatisticSimilarity(median),1.0
time_in_hospital,numerical,StatisticSimilarity(std),0.9755148286758091
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.8403
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.8777
num_lab_procedures,numerical,RangeCoverage,0.8928571428571429
num_lab_procedures,numerical,BoundaryAdherence,1.0
num_lab_procedures,numerical,StatisticSimilarity(mean),0.9639348214285713
num_lab_procedures,numerical,StatisticSimilarity(median),0.9910714285714286
num_lab_procedures,numerical,StatisticSimilarity(std),0.9885703659923095
num_procedures,numerical,MissingValueSimilarity,1.0
num_procedures,numerical,KSComplement,0.8927
num_procedures,numerical,RangeCoverage,1.0
num_procedures,numerical,BoundaryAdherence,1.0
num_procedures,numerical,StatisticSimilarity(mean),0.9656833333333333
num_procedures,numerical,StatisticSimilarity(median),0.8333333333333334
num_procedures,numerical,StatisticSimilarity(std),0.9925752649358404
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.959
num_medications,numerical,RangeCoverage,0.703125
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.996996875
num_medications,numerical,StatisticSimilarity(median),1.0
num_medications,numerical,StatisticSimilarity(std),0.9849803686505766
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.8624
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.7926
number_diagnoses,numerical,RangeCoverage,0.4
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.9601533333333333
number_diagnoses,numerical,StatisticSimilarity(median),0.9333333333333333
number_diagnoses,numerical,StatisticSimilarity(std),0.990601930387432
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.9464
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9554
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.9028
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9385
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9153
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.8116
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9614
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.9475
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.8357
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9994000000000001
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9666
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
