col_a,col_b,metric,score
gender,primary_diagnosis,ContingencySimilarity,0.713
gender,had_inpatient_days,ContingencySimilarity,0.7162
race,gender,ContingencySimilarity,0.7238
gender,medical_specialty,ContingencySimilarity,0.7458
gender,medicaid,ContingencySimilarity,0.7612
gender,max_glu_serum,ContingencySimilarity,0.765
gender,age,ContingencySimilarity,0.7652
gender,insulin,ContingencySimilarity,0.7694
gender,diabetesMed,ContingencySimilarity,0.7709999999999999
gender,A1Cresult,ContingencySimilarity,0.7712
gender,had_outpatient_days,ContingencySimilarity,0.7716
gender,had_emergency,ContingencySimilarity,0.7716
gender,medicare,ContingencySimilarity,0.7716000000000001
gender,change,ContingencySimilarity,0.7716000000000001
gender,readmit_binary,ContingencySimilarity,0.7716000000000001
gender,admission_source_id,ContingencySimilarity,0.7716000000000001
gender,discharge_disposition_id,ContingencySimilarity,0.7716000000000001
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.7718
medical_specialty,had_inpatient_days,ContingencySimilarity,0.7729999999999999
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.7749999999999999
race,had_inpatient_days,ContingencySimilarity,0.7804
race,medicare,ContingencySimilarity,0.7836000000000001
max_glu_serum,medicare,ContingencySimilarity,0.7838
medical_specialty,primary_diagnosis,ContingencySimilarity,0.784
primary_diagnosis,medicare,ContingencySimilarity,0.7904
medicare,medicaid,ContingencySimilarity,0.792
race,primary_diagnosis,ContingencySimilarity,0.793
age,medicare,ContingencySimilarity,0.7952
race,medical_specialty,ContingencySimilarity,0.7966
discharge_disposition_id,primary_diagnosis,ContingencySimilarity,0.7988000000000001
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.7996
primary_diagnosis,diabetesMed,ContingencySimilarity,0.8072
medical_specialty,medicare,ContingencySimilarity,0.8076
diabetesMed,had_inpatient_days,ContingencySimilarity,0.8078000000000001
medicare,had_emergency,ContingencySimilarity,0.8093999999999999
discharge_disposition_id,medicare,ContingencySimilarity,0.8094
