col_a,col_b,metric,score
num_procedures,num_medications,CorrelationSimilarity,0.9210664307586186
num_lab_procedures,num_procedures,CorrelationSimilarity,0.9473401745468133
num_procedures,number_diagnoses,CorrelationSimilarity,0.9546226731754863
num_lab_procedures,number_diagnoses,CorrelationSimilarity,0.9597213327742244
time_in_hospital,number_diagnoses,CorrelationSimilarity,0.9613187551888084
time_in_hospital,num_lab_procedures,CorrelationSimilarity,0.9765598642318059
num_lab_procedures,num_medications,CorrelationSimilarity,0.9766569046743613
time_in_hospital,num_procedures,CorrelationSimilarity,0.980565739824967
num_medications,number_diagnoses,CorrelationSimilarity,0.9812793670215059
time_in_hospital,num_medications,CorrelationSimilarity,0.9999096636227869
