col_a,col_b,metric,score
gender,primary_diagnosis,ContingencySimilarity,0.7934
race,gender,ContingencySimilarity,0.7966
gender,medical_specialty,ContingencySimilarity,0.8036
gender,max_glu_serum,ContingencySimilarity,0.8098000000000001
gender,A1Cresult,ContingencySimilarity,0.8106
gender,insulin,ContingencySimilarity,0.8148
gender,had_outpatient_days,ContingencySimilarity,0.8166
gender,readmit_binary,ContingencySimilarity,0.8182
gender,had_emergency,ContingencySimilarity,0.8196
gender,diabetesMed,ContingencySimilarity,0.8196
gender,change,ContingencySimilarity,0.8196
gender,admission_source_id,ContingencySimilarity,0.8196
gender,discharge_disposition_id,ContingencySimilarity,0.8196
gender,age,ContingencySimilarity,0.8196
gender,medicare,ContingencySimilarity,0.8196
gender,medicaid,ContingencySimilarity,0.8196
gender,had_inpatient_days,ContingencySimilarity,0.8196
race,insulin,ContingencySimilarity,0.8373999999999999
insulin,readmit_binary,ContingencySimilarity,0.84
A1Cresult,insulin,ContingencySimilarity,0.8412
medical_specialty,insulin,ContingencySimilarity,0.8452
primary_diagnosis,insulin,ContingencySimilarity,0.8492000000000001
insulin,medicare,ContingencySimilarity,0.854
max_glu_serum,insulin,ContingencySimilarity,0.8606
insulin,change,ContingencySimilarity,0.8612
age,insulin,ContingencySimilarity,0.8612
insulin,medicaid,ContingencySimilarity,0.8612
insulin,had_outpatient_days,ContingencySimilarity,0.8615999999999999
admission_source_id,insulin,ContingencySimilarity,0.8626
insulin,had_inpatient_days,ContingencySimilarity,0.8642
insulin,diabetesMed,ContingencySimilarity,0.8642
insulin,had_emergency,ContingencySimilarity,0.8642
discharge_disposition_id,insulin,ContingencySimilarity,0.8642000000000001
medical_specialty,primary_diagnosis,ContingencySimilarity,0.872
medical_specialty,had_outpatient_days,ContingencySimilarity,0.8764000000000001
A1Cresult,readmit_binary,ContingencySimilarity,0.882
race,medical_specialty,ContingencySimilarity,0.8866
race,primary_diagnosis,ContingencySimilarity,0.8888
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.8936
medical_specialty,A1Cresult,ContingencySimilarity,0.898
admission_source_id,medical_specialty,ContingencySimilarity,0.898
medical_specialty,max_glu_serum,ContingencySimilarity,0.899
race,had_outpatient_days,ContingencySimilarity,0.9028
age,medical_specialty,ContingencySimilarity,0.904
medical_specialty,had_emergency,ContingencySimilarity,0.913
medicare,readmit_binary,ContingencySimilarity,0.9132
