sensitive_feature_0,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican|Female,2427.0,0.00041203131437989287,0.8887515451174289,0.11124845488257108,0.0,0.0004633920296570899
AfricanAmerican|Male,1526.0,0.0,0.8840104849279161,0.11598951507208388,0.0,0.0
Asian|Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian|Male,77.0,0.0,0.8311688311688312,0.16883116883116883,0.0,0.0
Caucasian|Female,7898.0,0.00012661433274246644,0.8851608002025829,0.11483919979741707,0.0,0.00014302059496567506
Caucasian|Male,7243.0,0.0005522573519259975,0.8909291729946155,0.10907082700538451,0.0012690355329949238,0.00046475600309837337
Hispanic|Female,218.0,0.0,0.9174311926605505,0.08256880733944955,0.0,0.0
Hispanic|Male,193.0,0.0,0.8601036269430051,0.13989637305699482,0.0,0.0
Other|Female,144.0,0.0,0.8680555555555556,0.13194444444444445,0.0,0.0
Other|Male,154.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
Unknown|Female,191.0,0.0,0.9109947643979057,0.08900523560209424,0.0,0.0
Unknown|Male,218.0,0.0,0.9036697247706422,0.0963302752293578,0.0,0.0
