Column,Metric,Score
race,CategoryAdherence,1.0
gender,CategoryAdherence,1.0
age,CategoryAdherence,1.0
time_in_hospital,BoundaryAdherence,1.0
medical_specialty,CategoryAdherence,1.0
num_lab_procedures,BoundaryAdherence,1.0
num_procedures,CategoryAdherence,1.0
num_medications,BoundaryAdherence,1.0
primary_diagnosis,CategoryAdherence,1.0
number_diagnoses,BoundaryAdherence,1.0
max_glu_serum,CategoryAdherence,1.0
A1Cresult,CategoryAdherence,1.0
insulin,CategoryAdherence,1.0
change,CategoryAdherence,1.0
diabetesMed,CategoryAdherence,1.0
medicare,CategoryAdherence,1.0
medicaid,CategoryAdherence,1.0
had_emergency,CategoryAdherence,1.0
had_inpatient_days,CategoryAdherence,1.0
had_outpatient_days,CategoryAdherence,1.0
readmit_binary,CategoryAdherence,1.0
