column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.9487666666666666
race,categorical,CategoryCoverage,0.6666666666666666
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.8031
gender,categorical,CategoryCoverage,0.6666666666666666
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9758
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,id,MissingValueSimilarity,1.0
discharge_disposition_id,id,TVComplement,0.9702666666666666
discharge_disposition_id,id,CategoryCoverage,1.0
discharge_disposition_id,id,CategoryAdherence,1.0
admission_source_id,id,MissingValueSimilarity,1.0
admission_source_id,id,TVComplement,0.9604666666666666
admission_source_id,id,CategoryCoverage,1.0
admission_source_id,id,CategoryAdherence,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.8863333333333333
time_in_hospital,numerical,RangeCoverage,0.9230769230769231
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9800948717948719
time_in_hospital,numerical,StatisticSimilarity(median),1.0
time_in_hospital,numerical,StatisticSimilarity(std),0.9945536978855443
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.928
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.8395666666666667
num_lab_procedures,numerical,RangeCoverage,0.5714285714285714
num_lab_procedures,numerical,BoundaryAdherence,1.0
num_lab_procedures,numerical,StatisticSimilarity(mean),0.9673872023809523
num_lab_procedures,numerical,StatisticSimilarity(median),1.0
num_lab_procedures,numerical,StatisticSimilarity(std),0.9805161892103433
num_procedures,categorical,MissingValueSimilarity,1.0
num_procedures,categorical,TVComplement,0.9531666666666667
num_procedures,categorical,CategoryCoverage,1.0
num_procedures,categorical,CategoryAdherence,1.0
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.9107
num_medications,numerical,RangeCoverage,0.65625
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.9857010416666667
num_medications,numerical,StatisticSimilarity(median),0.984375
num_medications,numerical,StatisticSimilarity(std),0.9624448860054573
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.9264
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.9243
number_diagnoses,numerical,RangeCoverage,0.33333333333333326
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.9803977777777778
number_diagnoses,numerical,StatisticSimilarity(median),0.9333333333333333
number_diagnoses,numerical,StatisticSimilarity(std),0.9809230089551676
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.9786666666666667
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9683666666666667
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.8575333333333334
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9661666666666666
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9883666666666667
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.9579333333333333
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9967333333333334
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.9794999999999999
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.9873000000000001
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9564
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9016000000000001
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
