col_a,col_b,metric,score
race,gender,ContingencySimilarity,0.7186
gender,had_inpatient_days,ContingencySimilarity,0.7248
gender,primary_diagnosis,ContingencySimilarity,0.7316
gender,medical_specialty,ContingencySimilarity,0.7475999999999999
gender,A1Cresult,ContingencySimilarity,0.7658
gender,max_glu_serum,ContingencySimilarity,0.766
gender,medicaid,ContingencySimilarity,0.767
gender,age,ContingencySimilarity,0.771
gender,num_procedures,ContingencySimilarity,0.7714000000000001
gender,diabetesMed,ContingencySimilarity,0.7726
gender,had_outpatient_days,ContingencySimilarity,0.7729999999999999
gender,admission_source_id,ContingencySimilarity,0.7729999999999999
gender,had_emergency,ContingencySimilarity,0.7729999999999999
gender,discharge_disposition_id,ContingencySimilarity,0.7729999999999999
gender,change,ContingencySimilarity,0.773
gender,insulin,ContingencySimilarity,0.773
gender,readmit_binary,ContingencySimilarity,0.773
gender,medicare,ContingencySimilarity,0.773
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.7762
race,had_inpatient_days,ContingencySimilarity,0.7827999999999999
medical_specialty,had_inpatient_days,ContingencySimilarity,0.7864
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.7894
max_glu_serum,medicare,ContingencySimilarity,0.7938000000000001
medical_specialty,primary_diagnosis,ContingencySimilarity,0.7962
discharge_disposition_id,max_glu_serum,ContingencySimilarity,0.7964
race,primary_diagnosis,ContingencySimilarity,0.7972
discharge_disposition_id,medicare,ContingencySimilarity,0.7991999999999999
num_procedures,primary_diagnosis,ContingencySimilarity,0.7994
race,discharge_disposition_id,ContingencySimilarity,0.8002
discharge_disposition_id,primary_diagnosis,ContingencySimilarity,0.8008
race,medical_specialty,ContingencySimilarity,0.8074
medical_specialty,num_procedures,ContingencySimilarity,0.8078000000000001
num_procedures,had_inpatient_days,ContingencySimilarity,0.8088
medicare,medicaid,ContingencySimilarity,0.8098
discharge_disposition_id,had_emergency,ContingencySimilarity,0.8098000000000001
race,medicare,ContingencySimilarity,0.81
discharge_disposition_id,medicaid,ContingencySimilarity,0.8116000000000001
medical_specialty,diabetesMed,ContingencySimilarity,0.8132
diabetesMed,had_inpatient_days,ContingencySimilarity,0.8134
discharge_disposition_id,medical_specialty,ContingencySimilarity,0.8138
age,medicare,ContingencySimilarity,0.8138000000000001
age,discharge_disposition_id,ContingencySimilarity,0.8168
primary_diagnosis,medicare,ContingencySimilarity,0.8168
discharge_disposition_id,num_procedures,ContingencySimilarity,0.819
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.819
medical_specialty,medicare,ContingencySimilarity,0.8190000000000001
A1Cresult,had_inpatient_days,ContingencySimilarity,0.8192
primary_diagnosis,diabetesMed,ContingencySimilarity,0.8196
medicare,had_inpatient_days,ContingencySimilarity,0.8238
medicare,had_emergency,ContingencySimilarity,0.824
discharge_disposition_id,A1Cresult,ContingencySimilarity,0.8240000000000001
discharge_disposition_id,insulin,ContingencySimilarity,0.8240000000000001
discharge_disposition_id,had_outpatient_days,ContingencySimilarity,0.8244
discharge_disposition_id,admission_source_id,ContingencySimilarity,0.8244
discharge_disposition_id,change,ContingencySimilarity,0.8244
discharge_disposition_id,readmit_binary,ContingencySimilarity,0.8244
insulin,medicare,ContingencySimilarity,0.8251999999999999
num_procedures,medicare,ContingencySimilarity,0.8258000000000001
medicare,had_outpatient_days,ContingencySimilarity,0.827
medicare,readmit_binary,ContingencySimilarity,0.827
admission_source_id,medicare,ContingencySimilarity,0.827
change,medicare,ContingencySimilarity,0.827
A1Cresult,medicare,ContingencySimilarity,0.827
diabetesMed,medicare,ContingencySimilarity,0.827
race,num_procedures,ContingencySimilarity,0.8288
admission_source_id,had_inpatient_days,ContingencySimilarity,0.831
medical_specialty,max_glu_serum,ContingencySimilarity,0.8315999999999999
medical_specialty,insulin,ContingencySimilarity,0.8336
race,diabetesMed,ContingencySimilarity,0.836
age,medical_specialty,ContingencySimilarity,0.8362
admission_source_id,medical_specialty,ContingencySimilarity,0.8382000000000001
num_procedures,diabetesMed,ContingencySimilarity,0.839
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.8402
medical_specialty,A1Cresult,ContingencySimilarity,0.8402000000000001
change,diabetesMed,ContingencySimilarity,0.841
medical_specialty,medicaid,ContingencySimilarity,0.8413999999999999
