col_a,col_b,metric,score
race,gender,ContingencySimilarity,0.7906
gender,primary_diagnosis,ContingencySimilarity,0.7906
gender,num_procedures,ContingencySimilarity,0.8031999999999999
gender,medical_specialty,ContingencySimilarity,0.8032
gender,A1Cresult,ContingencySimilarity,0.8076
gender,max_glu_serum,ContingencySimilarity,0.8082
gender,had_emergency,ContingencySimilarity,0.8141999999999999
gender,change,ContingencySimilarity,0.8142
gender,admission_source_id,ContingencySimilarity,0.8142
gender,discharge_disposition_id,ContingencySimilarity,0.8142
gender,age,ContingencySimilarity,0.8142
gender,insulin,ContingencySimilarity,0.8142
gender,diabetesMed,ContingencySimilarity,0.8142
gender,medicaid,ContingencySimilarity,0.8142
gender,had_inpatient_days,ContingencySimilarity,0.8142
gender,had_outpatient_days,ContingencySimilarity,0.8142
gender,readmit_binary,ContingencySimilarity,0.8142
gender,medicare,ContingencySimilarity,0.8142
race,insulin,ContingencySimilarity,0.8336
primary_diagnosis,insulin,ContingencySimilarity,0.8426
A1Cresult,insulin,ContingencySimilarity,0.8442000000000001
medical_specialty,insulin,ContingencySimilarity,0.8448
insulin,readmit_binary,ContingencySimilarity,0.8482000000000001
age,insulin,ContingencySimilarity,0.8504
num_procedures,insulin,ContingencySimilarity,0.8558
insulin,change,ContingencySimilarity,0.8562
admission_source_id,insulin,ContingencySimilarity,0.8606
insulin,had_inpatient_days,ContingencySimilarity,0.8616
max_glu_serum,insulin,ContingencySimilarity,0.8624
insulin,medicaid,ContingencySimilarity,0.8626
insulin,diabetesMed,ContingencySimilarity,0.864
insulin,had_outpatient_days,ContingencySimilarity,0.864
insulin,medicare,ContingencySimilarity,0.864
insulin,had_emergency,ContingencySimilarity,0.864
discharge_disposition_id,insulin,ContingencySimilarity,0.8640000000000001
num_procedures,primary_diagnosis,ContingencySimilarity,0.8812
A1Cresult,readmit_binary,ContingencySimilarity,0.8826
medical_specialty,primary_diagnosis,ContingencySimilarity,0.8882
race,primary_diagnosis,ContingencySimilarity,0.8968
race,medical_specialty,ContingencySimilarity,0.8988
admission_source_id,num_procedures,ContingencySimilarity,0.904
medical_specialty,had_outpatient_days,ContingencySimilarity,0.9066
admission_source_id,medical_specialty,ContingencySimilarity,0.9086
medical_specialty,num_procedures,ContingencySimilarity,0.9106
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.9106000000000001
race,had_outpatient_days,ContingencySimilarity,0.913
primary_diagnosis,A1Cresult,ContingencySimilarity,0.9204
race,num_procedures,ContingencySimilarity,0.922
admission_source_id,primary_diagnosis,ContingencySimilarity,0.9239999999999999
age,medical_specialty,ContingencySimilarity,0.9241999999999999
admission_source_id,readmit_binary,ContingencySimilarity,0.925
race,age,ContingencySimilarity,0.9258
medical_specialty,max_glu_serum,ContingencySimilarity,0.9259999999999999
race,A1Cresult,ContingencySimilarity,0.927
primary_diagnosis,readmit_binary,ContingencySimilarity,0.9274
discharge_disposition_id,primary_diagnosis,ContingencySimilarity,0.9292
primary_diagnosis,max_glu_serum,ContingencySimilarity,0.9292
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.9294
age,primary_diagnosis,ContingencySimilarity,0.93
