Column,Metric,Score
race,TVComplement,0.9519
gender,TVComplement,0.8157
age,TVComplement,0.9712
time_in_hospital,KSComplement,0.8404
medical_specialty,TVComplement,0.9483
num_lab_procedures,KSComplement,0.8337
num_procedures,TVComplement,0.9697
num_medications,KSComplement,0.9105
primary_diagnosis,TVComplement,0.9348000000000001
number_diagnoses,KSComplement,0.9491
max_glu_serum,TVComplement,0.9858
A1Cresult,TVComplement,0.9607
insulin,TVComplement,0.86
change,TVComplement,0.9945
diabetesMed,TVComplement,0.9844999999999999
medicare,TVComplement,0.9786
medicaid,TVComplement,0.9988
had_emergency,TVComplement,0.9789
had_inpatient_days,TVComplement,0.9949
had_outpatient_days,TVComplement,0.9620000000000001
readmit_binary,TVComplement,0.9414
