Column,Metric,Score
race,TVComplement,0.888
gender,TVComplement,0.7746
age,TVComplement,0.9746
time_in_hospital,KSComplement,0.8831
medical_specialty,TVComplement,0.8429
num_lab_procedures,KSComplement,0.8669
num_procedures,TVComplement,0.8832
num_medications,KSComplement,0.9631
primary_diagnosis,TVComplement,0.871
number_diagnoses,KSComplement,0.7872
max_glu_serum,TVComplement,0.9344
A1Cresult,TVComplement,0.9450000000000001
insulin,TVComplement,0.8972
change,TVComplement,0.9519
diabetesMed,TVComplement,0.9157
medicare,TVComplement,0.8291999999999999
medicaid,TVComplement,0.9636
had_emergency,TVComplement,0.9427000000000001
had_inpatient_days,TVComplement,0.8425
had_outpatient_days,TVComplement,0.9965999999999999
readmit_binary,TVComplement,0.9554
