Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Real Association,Meets Threshold?
race,gender,ContingencySimilarity,,,,0.05856221466640478,False
race,age,ContingencySimilarity,,,,0.11526904553346681,False
race,time_in_hospital,ContingencySimilarity,,,,0.019041663420608625,False
race,medical_specialty,ContingencySimilarity,,,,0.07537081470140439,False
race,num_lab_procedures,ContingencySimilarity,,,,0.04381018553380273,False
race,num_procedures,ContingencySimilarity,,,,0.029448229915237628,False
race,num_medications,ContingencySimilarity,,,,0.033966589181465286,False
race,primary_diagnosis,ContingencySimilarity,,,,0.044138332189049674,False
race,number_diagnoses,ContingencySimilarity,,,,0.058485290065876536,False
race,max_glu_serum,ContingencySimilarity,,,,0.041648142885375335,False
race,A1Cresult,ContingencySimilarity,,,,0.03774658233633366,False
race,insulin,ContingencySimilarity,,,,0.04430403832653637,False
race,change,ContingencySimilarity,,,,0.022171666495113408,False
race,diabetesMed,ContingencySimilarity,,,,0.027033002941463734,False
race,medicare,ContingencySimilarity,,,,0.11029156133869339,False
race,medicaid,ContingencySimilarity,,,,0.08526925518281035,False
race,had_emergency,ContingencySimilarity,,,,0.05819639011607013,False
race,had_inpatient_days,ContingencySimilarity,,,,0.05201135668067661,False
race,had_outpatient_days,ContingencySimilarity,,,,0.07420189030113897,False
race,readmit_binary,ContingencySimilarity,,,,0.01633051762137478,False
gender,age,ContingencySimilarity,,,,0.03484149169318298,False
gender,time_in_hospital,ContingencySimilarity,,,,0.03104571848417469,False
gender,medical_specialty,ContingencySimilarity,,,,0.03748859266716107,False
gender,num_lab_procedures,ContingencySimilarity,,,,0.018643358135748092,False
gender,num_procedures,ContingencySimilarity,,,,0.0441089995319752,False
gender,num_medications,ContingencySimilarity,,,,0.037134720639593055,False
gender,primary_diagnosis,ContingencySimilarity,,,,0.0344614659419588,False
gender,number_diagnoses,ContingencySimilarity,,,,0.012047119064958782,False
gender,max_glu_serum,ContingencySimilarity,,,,0.006255011335318719,False
gender,A1Cresult,ContingencySimilarity,,,,0.01901439787664722,False
gender,insulin,ContingencySimilarity,,,,0.007728859424281935,False
gender,change,ContingencySimilarity,,,,0.01253555817642509,False
gender,diabetesMed,ContingencySimilarity,,,,0.01725798301965681,False
gender,medicare,ContingencySimilarity,,,,0.0199996822733315,False
gender,medicaid,ContingencySimilarity,,,,0.050882445369467545,False
gender,had_emergency,ContingencySimilarity,,,,0.02750053004347795,False
gender,had_inpatient_days,ContingencySimilarity,,,,0.017834444588625258,False
gender,had_outpatient_days,ContingencySimilarity,,,,0.010890159735199979,False
gender,readmit_binary,ContingencySimilarity,,,,0.00661225666657539,False
age,time_in_hospital,ContingencySimilarity,,,,0.07869945959591414,False
age,medical_specialty,ContingencySimilarity,,,,0.06789657474420048,False
age,num_lab_procedures,ContingencySimilarity,,,,0.0340833307220647,False
age,num_procedures,ContingencySimilarity,,,,0.055199809892437536,False
age,num_medications,ContingencySimilarity,,,,0.10194336333140655,False
age,primary_diagnosis,ContingencySimilarity,,,,0.19287908937099407,False
age,number_diagnoses,ContingencySimilarity,,,,0.22250951020753254,False
age,max_glu_serum,ContingencySimilarity,,,,0.027651467626681685,False
age,A1Cresult,ContingencySimilarity,,,,0.11370485543400512,False
age,insulin,ContingencySimilarity,,,,0.07262650207779847,False
age,change,ContingencySimilarity,,,,0.02586765556567228,False
age,diabetesMed,ContingencySimilarity,,,,0.019958156359315325,False
age,medicare,ContingencySimilarity,0.9094599999999999,,,0.31654955261025486,True
age,medicaid,ContingencySimilarity,,,,0.13674142920259585,False
age,had_emergency,ContingencySimilarity,,,,0.06159672306144363,False
age,had_inpatient_days,ContingencySimilarity,,,,0.02086535909498392,False
age,had_outpatient_days,ContingencySimilarity,,,,0.027315064640493682,False
age,readmit_binary,ContingencySimilarity,,,,0.01846537715247633,False
time_in_hospital,medical_specialty,ContingencySimilarity,,,,0.046101903372965526,False
time_in_hospital,num_lab_procedures,CorrelationSimilarity,,0.31845016879980426,,,False
