col_a,col_b,metric,score
race,gender,ContingencySimilarity,0.6976
gender,had_inpatient_days,ContingencySimilarity,0.7050000000000001
gender,primary_diagnosis,ContingencySimilarity,0.7266
gender,medical_specialty,ContingencySimilarity,0.7384
gender,A1Cresult,ContingencySimilarity,0.7452000000000001
gender,num_procedures,ContingencySimilarity,0.7534000000000001
gender,medicaid,ContingencySimilarity,0.7536
gender,max_glu_serum,ContingencySimilarity,0.7546
gender,age,ContingencySimilarity,0.7562
gender,change,ContingencySimilarity,0.7567999999999999
gender,diabetesMed,ContingencySimilarity,0.7567999999999999
gender,had_emergency,ContingencySimilarity,0.7567999999999999
gender,had_outpatient_days,ContingencySimilarity,0.7567999999999999
gender,insulin,ContingencySimilarity,0.7568
gender,medicare,ContingencySimilarity,0.7568
gender,readmit_binary,ContingencySimilarity,0.7568
race,had_inpatient_days,ContingencySimilarity,0.7772
medical_specialty,had_inpatient_days,ContingencySimilarity,0.784
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.79
race,medicare,ContingencySimilarity,0.7964
num_procedures,had_inpatient_days,ContingencySimilarity,0.7994
race,primary_diagnosis,ContingencySimilarity,0.7998
medical_specialty,num_procedures,ContingencySimilarity,0.8012
medical_specialty,primary_diagnosis,ContingencySimilarity,0.8015999999999999
race,medical_specialty,ContingencySimilarity,0.8018000000000001
max_glu_serum,medicare,ContingencySimilarity,0.8048000000000001
A1Cresult,had_inpatient_days,ContingencySimilarity,0.806
num_procedures,primary_diagnosis,ContingencySimilarity,0.8082
medical_specialty,diabetesMed,ContingencySimilarity,0.8132
primary_diagnosis,medicare,ContingencySimilarity,0.8142
race,num_procedures,ContingencySimilarity,0.8166
diabetesMed,had_inpatient_days,ContingencySimilarity,0.8188000000000001
medicare,medicaid,ContingencySimilarity,0.8212
age,medicare,ContingencySimilarity,0.8220000000000001
medical_specialty,medicare,ContingencySimilarity,0.8238
medicare,had_emergency,ContingencySimilarity,0.8251999999999999
medical_specialty,max_glu_serum,ContingencySimilarity,0.8276
medicare,had_inpatient_days,ContingencySimilarity,0.8278
num_procedures,diabetesMed,ContingencySimilarity,0.8288
medical_specialty,insulin,ContingencySimilarity,0.829
insulin,medicare,ContingencySimilarity,0.8306
primary_diagnosis,diabetesMed,ContingencySimilarity,0.8306
A1Cresult,medicare,ContingencySimilarity,0.8322
num_procedures,medicare,ContingencySimilarity,0.8322
medical_specialty,A1Cresult,ContingencySimilarity,0.8322
diabetesMed,medicare,ContingencySimilarity,0.8322
change,medicare,ContingencySimilarity,0.8322
medicare,had_outpatient_days,ContingencySimilarity,0.8322
medicare,readmit_binary,ContingencySimilarity,0.8322
