Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Real Association,Meets Threshold?
race,gender,ContingencySimilarity,,,,0.05558052377764017,False
race,age,ContingencySimilarity,,,,0.11121926344343287,False
race,time_in_hospital,ContingencySimilarity,,,,0.018047826022323948,False
race,medical_specialty,ContingencySimilarity,,,,0.07436267072179933,False
race,num_lab_procedures,ContingencySimilarity,,,,0.04309072130364294,False
race,num_procedures,ContingencySimilarity,,,,0.026493486624784974,False
race,num_medications,ContingencySimilarity,,,,0.03176555658679657,False
race,primary_diagnosis,ContingencySimilarity,,,,0.04111988772851315,False
race,number_diagnoses,ContingencySimilarity,,,,0.06255978564724349,False
race,max_glu_serum,ContingencySimilarity,,,,0.04090724346080316,False
race,A1Cresult,ContingencySimilarity,,,,0.03050305269527502,False
race,insulin,ContingencySimilarity,,,,0.04654089401144432,False
race,change,ContingencySimilarity,,,,0.028183117595023486,False
race,diabetesMed,ContingencySimilarity,,,,0.0254093486049441,False
race,medicare,ContingencySimilarity,,,,0.11235732728006956,False
race,medicaid,ContingencySimilarity,,,,0.08233136171361342,False
race,had_emergency,ContingencySimilarity,,,,0.0571828858471309,False
race,had_inpatient_days,ContingencySimilarity,,,,0.0585891876807249,False
race,had_outpatient_days,ContingencySimilarity,,,,0.07479864065213203,False
race,readmit_binary,ContingencySimilarity,,,,0.017980118418215063,False
gender,age,ContingencySimilarity,,,,0.03659154195382008,False
gender,time_in_hospital,ContingencySimilarity,,,,0.02853690312416424,False
gender,medical_specialty,ContingencySimilarity,,,,0.03725439819046536,False
gender,num_lab_procedures,ContingencySimilarity,,,,0.02175584636492097,False
gender,num_procedures,ContingencySimilarity,,,,0.041062486332448134,False
gender,num_medications,ContingencySimilarity,,,,0.03951434993926191,False
gender,primary_diagnosis,ContingencySimilarity,,,,0.03700460699626756,False
gender,number_diagnoses,ContingencySimilarity,,,,0.009152053861687569,False
gender,max_glu_serum,ContingencySimilarity,,,,0.010288889857963755,False
gender,A1Cresult,ContingencySimilarity,,,,0.020684726631400165,False
gender,insulin,ContingencySimilarity,,,,0.0087555102801668,False
gender,change,ContingencySimilarity,,,,0.01611352448171843,False
gender,diabetesMed,ContingencySimilarity,,,,0.013204077779519686,False
gender,medicare,ContingencySimilarity,,,,0.025491359071882862,False
gender,medicaid,ContingencySimilarity,,,,0.05060274388052269,False
gender,had_emergency,ContingencySimilarity,,,,0.032908654953878805,False
gender,had_inpatient_days,ContingencySimilarity,,,,0.010335567754575144,False
gender,had_outpatient_days,ContingencySimilarity,,,,0.01150102024663058,False
gender,readmit_binary,ContingencySimilarity,,,,0.005284877513518363,False
age,time_in_hospital,ContingencySimilarity,,,,0.08047769227500172,False
age,medical_specialty,ContingencySimilarity,,,,0.06845311870740946,False
age,num_lab_procedures,ContingencySimilarity,,,,0.03549446551290483,False
age,num_procedures,ContingencySimilarity,,,,0.05833639236917948,False
age,num_medications,ContingencySimilarity,,,,0.10138791910084131,False
age,primary_diagnosis,ContingencySimilarity,,,,0.19253984787616338,False
age,number_diagnoses,ContingencySimilarity,,,,0.2213138916444625,False
age,max_glu_serum,ContingencySimilarity,,,,0.03475598652898778,False
age,A1Cresult,ContingencySimilarity,,,,0.10881515883050527,False
age,insulin,ContingencySimilarity,,,,0.07150291514158975,False
age,change,ContingencySimilarity,,,,0.027427549667444574,False
age,diabetesMed,ContingencySimilarity,,,,0.012825972916781241,False
age,medicare,ContingencySimilarity,0.82458,,,0.31892518653102375,True
age,medicaid,ContingencySimilarity,,,,0.14045401364684662,False
age,had_emergency,ContingencySimilarity,,,,0.06563952217900947,False
age,had_inpatient_days,ContingencySimilarity,,,,0.018508492640187394,False
age,had_outpatient_days,ContingencySimilarity,,,,0.03151245330680658,False
age,readmit_binary,ContingencySimilarity,,,,0.023585787364823186,False
time_in_hospital,medical_specialty,ContingencySimilarity,,,,0.04664448947553311,False
time_in_hospital,num_lab_procedures,CorrelationSimilarity,,0.316693234704607,,,False
time_in_hospital,num_procedures,ContingencySimilarity,,,,0.09641786870450851,False
time_in_hospital,num_medications,CorrelationSimilarity,,0.46662510215998054,,,False
time_in_hospital,primary_diagnosis,ContingencySimilarity,,,,0.04359600713533844,False
