col_a,col_b,metric,score
gender,num_procedures,ContingencySimilarity,0.7884
gender,primary_diagnosis,ContingencySimilarity,0.7886
race,gender,ContingencySimilarity,0.7908000000000001
gender,max_glu_serum,ContingencySimilarity,0.7992
gender,A1Cresult,ContingencySimilarity,0.8008
gender,had_outpatient_days,ContingencySimilarity,0.8072
gender,had_emergency,ContingencySimilarity,0.8073999999999999
gender,medicare,ContingencySimilarity,0.8073999999999999
gender,change,ContingencySimilarity,0.8073999999999999
gender,readmit_binary,ContingencySimilarity,0.8074
gender,had_inpatient_days,ContingencySimilarity,0.8074
gender,medicaid,ContingencySimilarity,0.8074
gender,diabetesMed,ContingencySimilarity,0.8074
gender,medical_specialty,ContingencySimilarity,0.8074
gender,age,ContingencySimilarity,0.8074
gender,insulin,ContingencySimilarity,0.8074
primary_diagnosis,insulin,ContingencySimilarity,0.8666
race,insulin,ContingencySimilarity,0.8762
medical_specialty,insulin,ContingencySimilarity,0.8772
A1Cresult,insulin,ContingencySimilarity,0.8775999999999999
insulin,readmit_binary,ContingencySimilarity,0.8792
age,insulin,ContingencySimilarity,0.8794
num_procedures,insulin,ContingencySimilarity,0.8802
num_procedures,primary_diagnosis,ContingencySimilarity,0.8862
max_glu_serum,insulin,ContingencySimilarity,0.889
insulin,had_outpatient_days,ContingencySimilarity,0.8896
insulin,change,ContingencySimilarity,0.8924
A1Cresult,readmit_binary,ContingencySimilarity,0.8942
insulin,had_inpatient_days,ContingencySimilarity,0.8952
insulin,had_emergency,ContingencySimilarity,0.8956
race,primary_diagnosis,ContingencySimilarity,0.896
insulin,medicare,ContingencySimilarity,0.8962
insulin,medicaid,ContingencySimilarity,0.8978
insulin,diabetesMed,ContingencySimilarity,0.8978
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.9037999999999999
medical_specialty,primary_diagnosis,ContingencySimilarity,0.9077999999999999
medical_specialty,num_procedures,ContingencySimilarity,0.908
race,had_outpatient_days,ContingencySimilarity,0.9151999999999999
medical_specialty,had_outpatient_days,ContingencySimilarity,0.918
primary_diagnosis,A1Cresult,ContingencySimilarity,0.9194
primary_diagnosis,max_glu_serum,ContingencySimilarity,0.921
race,medical_specialty,ContingencySimilarity,0.9236
primary_diagnosis,readmit_binary,ContingencySimilarity,0.9238
num_procedures,readmit_binary,ContingencySimilarity,0.9264
race,num_procedures,ContingencySimilarity,0.9266
medical_specialty,readmit_binary,ContingencySimilarity,0.9272
num_procedures,had_outpatient_days,ContingencySimilarity,0.9279999999999999
primary_diagnosis,diabetesMed,ContingencySimilarity,0.9284
A1Cresult,had_outpatient_days,ContingencySimilarity,0.9306
age,primary_diagnosis,ContingencySimilarity,0.9308
primary_diagnosis,had_inpatient_days,ContingencySimilarity,0.9314
num_procedures,A1Cresult,ContingencySimilarity,0.9314
primary_diagnosis,had_emergency,ContingencySimilarity,0.9314
primary_diagnosis,medicaid,ContingencySimilarity,0.9314
primary_diagnosis,medicare,ContingencySimilarity,0.9314
primary_diagnosis,change,ContingencySimilarity,0.9314
race,A1Cresult,ContingencySimilarity,0.9356
race,readmit_binary,ContingencySimilarity,0.937
medical_specialty,max_glu_serum,ContingencySimilarity,0.9392
medical_specialty,A1Cresult,ContingencySimilarity,0.942
race,age,ContingencySimilarity,0.943
age,had_outpatient_days,ContingencySimilarity,0.9438
age,readmit_binary,ContingencySimilarity,0.944
age,num_procedures,ContingencySimilarity,0.9446
race,max_glu_serum,ContingencySimilarity,0.9456
medical_specialty,diabetesMed,ContingencySimilarity,0.9461999999999999
max_glu_serum,readmit_binary,ContingencySimilarity,0.9464
num_procedures,had_inpatient_days,ContingencySimilarity,0.9464
age,medical_specialty,ContingencySimilarity,0.947
num_procedures,max_glu_serum,ContingencySimilarity,0.9476
had_emergency,readmit_binary,ContingencySimilarity,0.948
medicaid,readmit_binary,ContingencySimilarity,0.948
medicare,readmit_binary,ContingencySimilarity,0.948
diabetesMed,readmit_binary,ContingencySimilarity,0.948
change,readmit_binary,ContingencySimilarity,0.948
had_inpatient_days,readmit_binary,ContingencySimilarity,0.948
had_outpatient_days,readmit_binary,ContingencySimilarity,0.9480000000000001
max_glu_serum,had_outpatient_days,ContingencySimilarity,0.9482
medical_specialty,had_emergency,ContingencySimilarity,0.9496
