Column,Metric,Score
race,TVComplement,0.9521323637792954
gender,TVComplement,0.8047830786616224
age,TVComplement,0.9872623200510982
time_in_hospital,KSComplement,0.8711983491377193
medical_specialty,TVComplement,0.9585196285559868
num_lab_procedures,KSComplement,0.8377511914705449
num_procedures,TVComplement,0.9759003586694837
num_medications,KSComplement,0.9150739448729918
primary_diagnosis,TVComplement,0.9394069670318872
number_diagnoses,KSComplement,0.9525991254360536
max_glu_serum,TVComplement,0.9866850095808972
A1Cresult,TVComplement,0.9646612293028055
insulin,TVComplement,0.8760256473247188
change,TVComplement,0.9983294845968653
diabetesMed,TVComplement,0.9894978627229402
medicare,TVComplement,0.9949024713801405
medicaid,TVComplement,0.9990787598879771
had_emergency,TVComplement,0.982422738662605
had_inpatient_days,TVComplement,0.9912420773350366
had_outpatient_days,TVComplement,0.9512971060777281
readmit_binary,TVComplement,0.9443939468383039
